,portfolio_value_total,portfolio_value,leverage,leverage_total,cash_weight_percentage,cash_weight_percentage_total,unrealized_pnl_percentage,unrealized_pnl_percentage_total,timestamp
0,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,967647600.0
1,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,967734000.0
2,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968079600.0
3,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968166000.0
4,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968252400.0
5,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968338800.0
6,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968598000.0
7,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968684400.0
8,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968770800.0
9,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968857200.0
10,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,968943600.0
11,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969202800.0
12,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969289200.0
13,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969375600.0
14,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969462000.0
15,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969548400.0
16,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969807600.0
17,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969894000.0
18,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,969980400.0
19,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,970066800.0
20,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,970153200.0
21,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,970412400.0
22,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,970498800.0
23,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,970585200.0
24,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,970671600.0
25,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,970758000.0
26,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971017200.0
27,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971103600.0
28,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971190000.0
29,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971276400.0
30,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971362800.0
31,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971622000.0
32,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971708400.0
33,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971794800.0
34,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971881200.0
35,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,971967600.0
36,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,972226800.0
37,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,972313200.0
38,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,972399600.0
39,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,972486000.0
40,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,972572400.0
