,realized_pnl,realized_pnl_percentage,realized_pnl_percentage_weighted,order_timestamp,order
0,0,0,0.0,1411311600.0,"type:weight,ticker:AAPL,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
1,0,0,0.0,1411311600.0,"type:weight,ticker:FB,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
2,0,0,0.0,1411311600.0,"type:weight,ticker:NFLX,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
3,0,0,0.0,1411311600.0,"type:weight,ticker:GOOGL,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
4,0,0,0.0,1411311600.0,"type:weight,ticker:NVDA,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
5,0,0,0.0,1411311600.0,"type:weight,ticker:TSLA,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
6,0,0,0.0,1411311600.0,"type:weight,ticker:AMZN,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
7,0,0,0.0,1411311600.0,"type:weight,ticker:TWTR,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
8,0,0,0.0,1411311600.0,"type:weight,ticker:BIDU,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
9,0,0,0.0,1411311600.0,"type:weight,ticker:BABA,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
10,0,0,0.0,1411311600.0,"type:weight,ticker:^GSPC,value:10000,weight:0.09090909090909091,side:1,market:True,price:None"
