,portfolio_value_total,portfolio_value,leverage,leverage_total,cash_weight_percentage,cash_weight_percentage_total,unrealized_pnl_percentage,unrealized_pnl_percentage_total,timestamp
0,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1411311600.0
1,9767.877975231,9767.877975231,0.9999999927254415,0.9999999927254415,7.274558511127793e-07,7.274558511127793e-07,-2.376381291388015,-2.376381291388015,1411398000.0
2,9764.06326493,9764.06326493,0.9999999927225993,0.9999999927225993,7.277400682070834e-07,7.277400682070834e-07,-2.416378598420433,-2.416378598420433,1411484400.0
3,9894.822754656,9894.822754656,0.99999999281877,0.99999999281877,7.181230055053334e-07,7.181230055053334e-07,-1.0629522928493977,-1.0629522928493977,1411570800.0
4,9676.248885908,9676.248885908,0.9999999926565551,0.9999999926565551,7.343444852203618e-07,7.343444852203618e-07,-3.345832852268759,-3.345832852268759,1411657200.0
5,9775.992878523,9775.992878523,0.99999999273148,0.99999999273148,7.268520008096857e-07,7.268520008096857e-07,-2.2914002113189333,-2.2914002113189333,1411916400.0
6,9749.025383002,9749.025383002,0.999999992711374,0.999999992711374,7.288626036050516e-07,7.288626036050516e-07,-2.5743559703474466,-2.5743559703474466,1412002800.0
7,9736.451846997,9736.451846997,0.9999999927019614,0.9999999927019614,7.298038617875591e-07,7.298038617875591e-07,-2.706819251453348,-2.706819251453348,1412089200.0
8,9528.490487148,9528.490487148,0.9999999925426802,0.9999999925426802,7.457319761705605e-07,7.457319761705605e-07,-4.948417731937401,-4.948417731937401,1412175600.0
9,9666.46950986,9666.46950986,0.9999999926491259,0.9999999926491259,7.350874131617502e-07,7.350874131617502e-07,-3.450385787694168,-3.450385787694168,1412262000.0
10,9786.061700347,9786.061700347,0.9999999927389585,0.9999999927389585,7.261041545802982e-07,7.261041545802982e-07,-2.186153186070899,-2.186153186070899,1412521200.0
11,9808.958828824,9808.958828824,0.999999992755908,0.999999992755908,7.244091992930635e-07,7.244091992930635e-07,-1.9476192581685456,-1.9476192581685456,1412607600.0
12,9702.892579742,9702.892579742,0.9999999926767199,0.9999999926767199,7.323280093451956e-07,7.323280093451956e-07,-3.062049979593813,-3.062049979593813,1412694000.0
13,9862.861292005,9862.861292005,0.9999999927954983,0.9999999927954983,7.204501661917107e-07,7.204501661917107e-07,-1.390455608517651,-1.390455608517651,1412780400.0
14,9744.696214873,9744.696214873,0.9999999927081359,0.9999999927081359,7.291864112524138e-07,7.291864112524138e-07,-2.619925542033197,-2.619925542033197,1412866800.0
15,9344.918295283,9344.918295283,0.9999999923961882,0.9999999923961882,7.603811802425753e-07,7.603811802425753e-07,-7.010031377670399,-7.010031377670399,1413126000.0
16,9164.485557964,9164.485557964,0.9999999922464826,0.9999999922464826,7.753517383690678e-07,7.753517383690678e-07,-9.11687226469501,-9.11687226469501,1413212400.0
17,9223.798608662,9223.798608662,0.9999999922963408,0.9999999922963408,7.703659155033904e-07,7.703659155033904e-07,-8.41520315295127,-8.41520315295127,1413298800.0
18,9272.735712542,9272.735712542,0.999999992336997,0.999999992336997,7.663003009916736e-07,7.663003009916736e-07,-7.843039098745433,-7.843039098745433,1413385200.0
19,9060.534871335,9060.534871335,0.9999999921575272,0.9999999921575272,7.842472782293441e-07,7.842472782293441e-07,-10.368760145024163,-10.368760145024163,1413471600.0
20,9091.556456701,9091.556456701,0.9999999921842864,0.9999999921842864,7.815713631842414e-07,7.815713631842414e-07,-9.992167431676945,-9.992167431676945,1413730800.0
21,9233.846396819,9233.846396819,0.9999999923047234,0.9999999923047234,7.695276638131077e-07,7.695276638131077e-07,-8.297231405592088,-8.297231405592088,1413817200.0
22,9445.300136767,9445.300136767,0.999999992476999,0.999999992476999,7.523000999931639e-07,7.523000999931639e-07,-5.872760581463813,-5.872760581463813,1413903600.0
