,portfolio_value_total,portfolio_value,leverage,leverage_total,cash_weight_percentage,cash_weight_percentage_total,unrealized_pnl_percentage,unrealized_pnl_percentage_total,timestamp
0,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1555858800.0
1,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1555945200.0
2,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556031600.0
3,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556118000.0
4,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556204400.0
5,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556463600.0
6,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556550000.0
7,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556636400.0
8,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556722800.0
9,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1556809200.0
10,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557068400.0
11,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557154800.0
12,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557241200.0
13,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557327600.0
14,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557414000.0
15,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557673200.0
16,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557759600.0
17,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557846000.0
18,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,1557932400.0
19,10080.302892787,10080.302892787,0.9999999959219478,0.9999999959219478,4.078052229239404e-07,4.078052229239404e-07,0.7966317445129659,0.7966317445129659,1558018800.0
20,9940.81164713,9940.81164713,0.999999995864724,0.999999995864724,4.1352760105084485e-07,4.1352760105084485e-07,-0.5954076485000864,-0.5954076485000864,1558278000.0
21,9535.585915301,9535.585915301,0.9999999956889905,0.9999999956889905,4.3110095493403833e-07,4.3110095493403833e-07,-4.870325628903315,-4.870325628903315,1558364400.0
22,9676.777539552,9676.777539552,0.9999999957518914,0.9999999957518914,4.248108642634918e-07,4.248108642634918e-07,-3.3401869488772413,-3.3401869488772413,1558450800.0
23,9610.729568564,9610.729568564,0.9999999957226973,0.9999999957226973,4.2773027342235537e-07,4.2773027342235537e-07,-4.0503733734145975,-4.0503733734145975,1558537200.0
